,country,model,variable,sim_id,year,value
1,Austria,Theta,co2,1,2023,6.888831317
2,Austria,Theta,co2,1,2024,7.053424098
3,Austria,Theta,co2,1,2025,6.635209545
4,Austria,Theta,co2,1,2026,6.597853103
5,Austria,Theta,co2,1,2027,6.345136271
6,Austria,Theta,co2,1,2028,6.280108512
7,Austria,Theta,co2,1,2029,6.011085687
8,Austria,Theta,co2,1,2030,5.897805396
9,Austria,Theta,co2,2,2023,7.48425975
10,Austria,Theta,co2,2,2024,7.192476701
11,Austria,Theta,co2,2,2025,7.069720305
12,Austria,Theta,co2,2,2026,6.91484755
13,Austria,Theta,co2,2,2027,6.83310601
14,Austria,Theta,co2,2,2028,6.811144554
15,Austria,Theta,co2,2,2029,7.352762329
16,Austria,Theta,co2,2,2030,7.230478009
17,Austria,Theta,co2,3,2023,7.289587454
18,Austria,Theta,co2,3,2024,7.491321399
19,Austria,Theta,co2,3,2025,7.146480169
20,Austria,Theta,co2,3,2026,7.211040362
21,Austria,Theta,co2,3,2027,7.068875868
22,Austria,Theta,co2,3,2028,7.001109117
23,Austria,Theta,co2,3,2029,7.034173091
24,Austria,Theta,co2,3,2030,7.131932929
25,Austria,Theta,co2,4,2023,7.331198879
26,Austria,Theta,co2,4,2024,6.842774992
27,Austria,Theta,co2,4,2025,6.995244289
28,Austria,Theta,co2,4,2026,7.069705069
29,Austria,Theta,co2,4,2027,7.288820588
30,Austria,Theta,co2,4,2028,6.57401086
31,Austria,Theta,co2,4,2029,6.78453343
32,Austria,Theta,co2,4,2030,7.012062118
33,Austria,Theta,co2,5,2023,7.438972056
34,Austria,Theta,co2,5,2024,7.488677682
35,Austria,Theta,co2,5,2025,7.955545833
36,Austria,Theta,co2,5,2026,8.180115917
37,Austria,Theta,co2,5,2027,7.39684974
38,Austria,Theta,co2,5,2028,7.190085098
39,Austria,Theta,co2,5,2029,7.333580184
40,Austria,Theta,co2,5,2030,7.212977457
41,Austria,Theta,co2,6,2023,7.665787399
42,Austria,Theta,co2,6,2024,7.813759148
43,Austria,Theta,co2,6,2025,7.716089416
