,country,model,variable,sim_id,year,value
1,Austria,Theta,exports,1,2023,53.5679881
2,Austria,Theta,exports,1,2024,55.14323668
3,Austria,Theta,exports,1,2025,53.19050334
4,Austria,Theta,exports,1,2026,54.08738791
5,Austria,Theta,exports,1,2027,53.9001865
6,Austria,Theta,exports,1,2028,55.44757493
7,Austria,Theta,exports,1,2029,55.7820056
8,Austria,Theta,exports,1,2030,57.618627
9,Austria,Theta,exports,2,2023,57.9333677
10,Austria,Theta,exports,2,2024,56.71466874
11,Austria,Theta,exports,2,2025,56.75166031
12,Austria,Theta,exports,2,2026,57.01209115
13,Austria,Theta,exports,2,2027,58.18694547
14,Austria,Theta,exports,2,2028,60.27362535
15,Austria,Theta,exports,2,2029,67.01760282
16,Austria,Theta,exports,2,2030,69.77431573
17,Austria,Theta,exports,3,2023,56.54555876
18,Austria,Theta,exports,3,2024,58.68559355
19,Austria,Theta,exports,3,2025,57.55758763
20,Austria,Theta,exports,3,2026,59.33210736
21,Austria,Theta,exports,3,2027,60.26723188
22,Austria,Theta,exports,3,2028,61.99487262
23,Austria,Theta,exports,3,2029,64.91208956
24,Austria,Theta,exports,3,2030,68.80020876
25,Austria,Theta,exports,4,2023,56.84529346
26,Austria,Theta,exports,4,2024,53.95463034
27,Austria,Theta,exports,4,2025,55.84407661
28,Austria,Theta,exports,4,2026,58.04901045
29,Austria,Theta,exports,4,2027,61.70970355
30,Austria,Theta,exports,4,2028,58.85191739
31,Austria,Theta,exports,4,2029,62.62608677
32,Austria,Theta,exports,4,2030,67.60514111
33,Austria,Theta,exports,5,2023,57.61376337
34,Austria,Theta,exports,5,2024,58.79998217
35,Austria,Theta,exports,5,2025,63.22557486
36,Austria,Theta,exports,5,2026,66.67844567
37,Austria,Theta,exports,5,2027,63.60295536
38,Austria,Theta,exports,5,2028,63.85693682
39,Austria,Theta,exports,5,2029,67.36035239
40,Austria,Theta,exports,5,2030,69.71183288
41,Austria,Theta,exports,6,2023,59.19532187
42,Austria,Theta,exports,6,2024,61.23450579
43,Austria,Theta,exports,6,2025,61.92853013
44,Austria,Theta,exports,6,2026,62.70031241
45,Austria,Theta,exports,6,2027,62.06075772
46,Austria,Theta,exports,6,2028,62.62948422
47,Austria,Theta,exports,6,2029,65.20946112
48,Austria,Theta,exports,6,2030,66.112841
49,Austria,Theta,exports,7,2023,57.25421166
50,Austria,Theta,exports,7,2024,56.99048839
51,Austria,Theta,exports,7,2025,58.93249577
52,Austria,Theta,exports,7,2026,59.42271998
53,Austria,Theta,exports,7,2027,59.15671265
54,Austria,Theta,exports,7,2028,64.76246479
55,Austria,Theta,exports,7,2029,67.46683268
56,Austria,Theta,exports,7,2030,68.67915063
57,Austria,Theta,exports,8,2023,61.11038423
58,Austria,Theta,exports,8,2024,64.97987
