,country,model,variable,sim_id,year,value
1,Austria,Theta,GDP,1,2023,44646.0611
2,Austria,Theta,GDP,1,2024,45483.08983
3,Austria,Theta,GDP,1,2025,45420.5993
4,Austria,Theta,GDP,1,2026,46428.65939
5,Austria,Theta,GDP,1,2027,47307.7089
6,Austria,Theta,GDP,1,2028,48927.18265
7,Austria,Theta,GDP,1,2029,50359.93744
8,Austria,Theta,GDP,1,2030,52454.12412
9,Austria,Theta,GDP,2,2023,46079.24799
10,Austria,Theta,GDP,2,2024,46065.86961
11,Austria,Theta,GDP,2,2025,46616.95075
12,Austria,Theta,GDP,2,2026,47444.68116
13,Austria,Theta,GDP,2,2027,48762.49318
14,Austria,Theta,GDP,2,2028,50579.49044
15,Austria,Theta,GDP,2,2029,54125.76526
16,Austria,Theta,GDP,2,2030,56620.63431
17,Austria,Theta,GDP,3,2023,45623.6199
18,Austria,Theta,GDP,3,2024,46691.6812
19,Austria,Theta,GDP,3,2025,46910.73851
20,Austria,Theta,GDP,3,2026,48220.06979
21,Austria,Theta,GDP,3,2027,49481.64476
22,Austria,Theta,GDP,3,2028,51178.14523
23,Austria,Theta,GDP,3,2029,53462.44368
24,Austria,Theta,GDP,3,2030,56269.88251
25,Austria,Theta,GDP,4,2023,45722.02505
26,Austria,Theta,GDP,4,2024,45143.06168
27,Austria,Theta,GDP,4,2025,46275.92797
28,Austria,Theta,GDP,4,2026,47769.19447
29,Austria,Theta,GDP,4,2027,49934.18001
30,Austria,Theta,GDP,4,2028,50167.40085
31,Austria,Theta,GDP,4,2029,52664.77658
32,Austria,Theta,GDP,4,2030,55840.31212
33,Austria,Theta,GDP,5,2023,45974.31949
34,Austria,Theta,GDP,5,2024,46745.59811
35,Austria,Theta,GDP,5,2025,48774.09843
36,Austria,Theta,GDP,5,2026,50718.86505
37,Austria,Theta,GDP,5,2027,50693.38042
38,Austria,Theta,GDP,5,2028,51846.02134
39,Austria,Theta,GDP,5,2029,54297.39286
40,Austria,Theta,GDP,5,2030,56608.13409
41,Austria,Theta,GDP,6,2023,46493.55701
42,Austria,Theta,GDP,6,2024,47569.09605
43,Austria,Theta,GDP,6,2025,48386.6925
44,Austria,Theta,GDP,6,2026,49394.74306
45,Austria,Theta,GDP,6,2027,50125.28525
46,Austria,Theta,GDP,6,2028,51416.52818
47,Austria,Theta,GDP,6,2029,53571.19801
48,Austria,Theta,GDP,6,2030,55392.67467
49,Austria,Theta,GDP,7,2023,45856.27596
50,Austria,Theta,GDP,7,2024,46146.02027
51,Austria,Theta,GDP,7,2025,47336.67387
52,Austria,Theta,GDP,7,2026,48269.68851
53,Austria,Theta,GDP,7,2027,49119.36996
54,Austria,Theta,GDP,7,2028,52069.86442
55,Austria,Theta,GDP,7,2029,54342.78742
56,Austria,Theta,GDP,7,2030,56271.21574
57,Austria,Theta,GDP,8,2023,47122.28635
58,Austria,Theta,GDP,8,2024,48828.06125
59,Austria,Theta,GDP,8,2025,49010.36951
60,Austria,Theta,GDP,8,2026,50244.39952
61,Austria,Theta,GDP,8,2027,50810.12672
62,Austria,Theta,GDP,8,2028,53486.54933
63,Austria,Theta,GDP,8,2029,55404.01556
64,Austria,Theta,GDP,8,2030,56943.03729
65,Austria,Theta,GDP,9,2023,45632.64477
66,Austria,Theta,GDP,9,2024,45339.89475
67,Austria,Theta,GDP,9,2025,45378.97313
68,Austria,Theta,GDP,9,2026,46412.72046
69,Austria,Theta,GDP,9,2027,47358.1539
70,Austria,Theta,GDP,9,2028,49236.55541
71,Austria,Theta,GDP,9,2029,50987.7066
