,country,model,variable,sim_id,year,value
1,Austria,Theta,Population,1,2023,9156433.393
2,Austria,Theta,Population,1,2024,9184492.482
3,Austria,Theta,Population,1,2025,9278142.006
4,Austria,Theta,Population,1,2026,9372260.905
5,Austria,Theta,Population,1,2027,9439956.655
6,Austria,Theta,Population,1,2028,9500998.829
7,Austria,Theta,Population,1,2029,9566083.215
8,Austria,Theta,Population,1,2030,9648722.943
9,Austria,Theta,Population,2,2023,9197501.338
10,Austria,Theta,Population,2,2024,9219434.301
11,Austria,Theta,Population,2,2025,9275888.532
12,Austria,Theta,Population,2,2026,9355519.165
13,Austria,Theta,Population,2,2027,9412357.727
14,Austria,Theta,Population,2,2028,9506236.861
15,Austria,Theta,Population,2,2029,9586876.01
16,Austria,Theta,Population,2,2030,9674242.741
17,Austria,Theta,Population,3,2023,9205953.686
18,Austria,Theta,Population,3,2024,9211116.958
19,Austria,Theta,Population,3,2025,9218176.142
20,Austria,Theta,Population,3,2026,9303399.071
21,Austria,Theta,Population,3,2027,9393868.049
22,Austria,Theta,Population,3,2028,9488842.739
23,Austria,Theta,Population,3,2029,9586867.406
24,Austria,Theta,Population,3,2030,9693328.267
25,Austria,Theta,Population,4,2023,9190104.747
26,Austria,Theta,Population,4,2024,9183094.988
27,Austria,Theta,Population,4,2025,9180801.969
28,Austria,Theta,Population,4,2026,9210700.76
29,Austria,Theta,Population,4,2027,9298616.305
30,Austria,Theta,Population,4,2028,9400462.419
31,Austria,Theta,Population,4,2029,9516475.018
32,Austria,Theta,Population,4,2030,9666047.931
33,Austria,Theta,Population,5,2023,9170527.117
34,Austria,Theta,Population,5,2024,9192295.004
35,Austria,Theta,Population,5,2025,9249100.842
36,Austria,Theta,Population,5,2026,9277026.477
37,Austria,Theta,Population,5,2027,9327693.466
38,Austria,Theta,Population,5,2028,9438192.285
39,Austria,Theta,Population,5,2029,9545139.826
40,Austria,Theta,Population,5,2030,9686678.072
41,Austria,Theta,Population,6,2023,9253356.078
42,Austria,Theta,Population,6,2024,9251616.741
43,Austria,Theta,Population,6,2025,9250308.297
