"","country","stream","model","n_covariates","forecast_error_2023","abs_forecast_error_2023","pi_width_2023","train_sd","test_sd","sd_ratio","slope_full","slope_train","slope_diff","trend_reversal","max_abs_change","mean_abs_change"
"1","Austria","Glass","BRR",1,-4.98687513418081,4.98687513418081,4.73004376911634,4.14039910659646,2.10665611811705,0.508805084698415,0.0371282051282056,0.119740259740251,-0.0826120546120449,0,20,3.36
"2","Belgium","Glass","SVM",1,-4.07272879822165,4.07272879822165,7.8675621771536,11.1277794815712,1.46047937335657,0.131246254095463,0.92369230769231,1.42233766233767,-0.498645354645359,0,8.90000000000001,1.692
"3","Denmark","Glass","SVM",1,-19.4463617743968,19.4463617743968,18.0557999165008,29.2592533185983,7.98435971133566,0.27288323541259,-0.208752136752137,1.10545454545452,-1.31420668220665,1,88.3,13.292
"4","Finland","Glass","SVM",1,-7.04653375124759,7.04653375124759,12.6904232579935,14.4127027305776,3.39455446266516,0.235525184007533,1.70700854700855,1.52675324675327,0.180255300255282,0,34.7,9.292
"5","France","Glass","BRR",1,-0.855879806556231,0.855879806556231,8.06250112455361,11.0925607846838,2.76550176279098,0.24931139134342,1.52724786324786,1.7688311688312,-0.241583305583332,0,5.39999999999999,1.872
"6","Germany","Glass","BRR",1,0.861133171422011,0.861133171422011,23.1356826136618,2.08482042163736,1.79916647367607,0.862983907392396,-0.118871794871795,0.0981818181818199,-0.217053613053615,1,5,1.624
"7","Ireland","Glass","SVM",1,0.572471029733308,0.572471029733308,4.23605794950127,20.8949629382413,0.810555365166377,0.0387919025059827,2.38126495726496,3.21428571428577,-0.833020757020814,0,13.4,3.7
"8","Italy","Glass","BRR",4,-2.178144739723,2.178144739723,21.8369581534237,12.2836263452808,2.72176413379264,0.221576597764088,1.66789743589744,1.89883116883119,-0.230933732933754,0,7.2,2.112
"9","Luxembourg","Glass","SVM",4,-5.03405933014966,5.03405933014966,17.021189828788,7.18376476441679,6.02884731934721,0.839232285167491,0.656512820512821,0.990259740259743,-0.333746919746921,0,13.8,3.076
"10","Netherlands","Glass","SVM",1,-0.921344469099353,0.921344469099353,8.94036661453092,5.21283215225841,4.38941909596247,0.842041133831788,0.114017094017094,0.258181818181817,-0.144164724164723,0,11.5,3.376
"11","Portugal","Glass","SVM",1,0.999407070777444,0.999407070777444,9.26476346147452,8.90339379408951,2.46981780704569,0.277401838463584,0.878,1.22872180451126,-0.350721804511261,0,9.5,3.05
"12","Spain","Glass","SVM",6,6.37208073392857,6.37208073392857,26.7468704683987,14.5236457445879,6.45856021106872,0.444692766860927,1.84854700854701,2.25428571428577,-0.405738705738758,0,13.1,3.136
"13","Sweden","Glass","SVM",4,-4.83299849007371,4.83299849007371,16.781687266237,5.73764511176593,4.98226855960214,0.868347285785458,0.220410256410257,0.505194805194797,-0.28478454878454,0,12,3.28
