"","country","stream","model","n_covariates","forecast_error_2023","abs_forecast_error_2023","pi_width_2023","train_sd","test_sd","sd_ratio","slope_full","slope_train","slope_diff","trend_reversal","max_abs_change","mean_abs_change"
"1","Austria","paper_cardboard","BRR",2,-3.11733071716012,3.11733071716012,6.95072884800459,1.87393144154717,2.19931807613178,1.17363849464843,-0.0879658119658129,0.00909090909090858,-0.0970567210567214,1,5.5,1.42
"2","Belgium","paper_cardboard","SVM",2,-9.72739052220182,9.72739052220182,11.3409146841026,5.91962032244508,3.65308089152157,0.617114053357509,0.54888888888889,0.764545454545466,-0.215656565656576,0,13.4,3.304
"3","Denmark","paper_cardboard","SVM",3,10.5954427578112,10.5954427578112,44.6757430436964,15.6642237203733,15.8577425884014,1.01235419459545,1.42495726495726,2.05415584415587,-0.62919857919861,0,32.5,7.688
"4","Finland","paper_cardboard","SVM",2,-15.7269088290197,15.7269088290197,22.676632871619,20.441183918746,9.36589557917448,0.458187530448532,2.44246153846154,3.21805194805201,-0.775590409590472,0,17.7,3.58
"5","France","paper_cardboard","SVM",2,2.5269845710354,2.5269845710354,11.9827613599837,14.2102545133201,4.03150096118059,0.283703642141077,1.43254700854701,2.17311688311692,-0.740569874569913,0,9.2,3.552
"6","Germany","paper_cardboard","BRR",1,2.62886547636973,2.62886547636973,16.1274947850805,3.43993355417555,2.37907545067406,0.691605059576291,-0.0549743589743596,0.0403896103896123,-0.095363969363972,1,7.5,2.16
"7","Ireland","paper_cardboard","SVM",4,10.3116540445692,10.3116540445692,15.0205458122892,27.5732409964375,2.6651453994107,0.0966569508370467,2.51791452991453,3.76636363636369,-1.24844910644916,0,30.1,4.136
"8","Italy","paper_cardboard","XARIMA",3,18.7175895982142,18.7175895982142,26.8404032893137,16.1392216723879,2.85306852353742,0.17677856971372,1.85552136752137,2.42584415584419,-0.57032278832282,0,6.60000000000001,2.9
"9","Luxembourg","paper_cardboard","SVM",2,-0.687045891741775,0.687045891741775,6.59950418452978,14.2381579868023,1.96137706726677,0.137754972875341,1.50984615384615,2.00038961038964,-0.490543456543489,0,22.7,3.644
"10","Netherlands","paper_cardboard","XARIMA",1,-3.07132144679443,3.07132144679443,11.503106004621,11.0576045799992,1.27671453348037,0.115460317308657,1.01305982905983,1.307012987013,-0.293953157953176,0,22.3,2.612
"11","Portugal","paper_cardboard","SVM",3,-2.84169191358508,2.84169191358508,8.08137560385011,11.6675201442204,2.44703902706924,0.209730859413292,0.731,1.23195488721804,-0.500954887218038,0,13.6,5.73333333333333
"12","Spain","paper_cardboard","SVM",2,7.14143759145081,7.14143759145081,17.6783283045355,9.43893406007671,3.31737848307967,0.351456897777365,0.972102564102564,1.40896103896106,-0.436858474858496,0,7,2.78
"13","Sweden","paper_cardboard","SVM",1,4.48096704786599,4.48096704786599,12.2295879587687,6.32396048299451,3.70405183549043,0.585717106463715,0.385538461538462,0.477532467532469,-0.0919940059940068,0,18.2,5.092
