"","country","stream","model","n_covariates","forecast_error_2023","abs_forecast_error_2023","pi_width_2023","train_sd","test_sd","sd_ratio","slope_full","slope_train","slope_diff","trend_reversal","max_abs_change","mean_abs_change"
"1","Austria","plastic","SVM",3,-2.32089658644108,2.32089658644108,6.19625939722016,4.03641165487603,3.21760780705169,0.797145604107249,0.12191452991453,0.506233766233763,-0.384319236319233,0,6.8,1.608
"2","Belgium","plastic","XARIMA",2,4.3708588589089,4.3708588589089,8.87708549816782,6.8769283010035,4.51807481124428,0.656990245279275,0.963384615384615,1.027012987013,-0.063628371628388,0,5,2.02
"3","Denmark","plastic","SVM",2,11.9861646975383,11.9861646975383,21.101596018848,9.28325938245317,6.84521730845705,0.737372190784155,0.948410256410257,1.45168831168834,-0.503278055278078,0,14.5,3.336
"4","Finland","plastic","BRR",2,-2.66298406563692,2.66298406563692,18.0702645604614,5.86718882957629,5.99691587401391,1.02211059643822,0.907521367521368,0.873376623376638,0.03414474414473,0,15.8,2.564
"5","France","plastic","SVM",4,-0.0852433243375188,0.0852433243375188,7.72488875758203,6.51210959893731,2.34158066271483,0.359573288369861,0.726529914529914,1.00597402597404,-0.279444111444124,0,5.5,1.364
"6","Germany","plastic","SVM",3,2.96,2.96,7.8,5.45847091793157,2.80588666912974,0.5140426158381,-0.284752136752137,-0.375194805194799,0.0904426684426617,0,8.4,2.368
"7","Ireland","plastic","SVM",6,5.70018600106512,5.70018600106512,16.4903421033184,13.8158208139041,1.91650723974631,0.138718304584376,1.22793162393162,2.00636363636367,-0.778432012432043,0,8.1,3.424
"8","Italy","plastic","BRR",4,1.01842298096252,1.01842298096252,13.6853025030865,10.0163604263463,1.69469761314519,0.169192954427597,1.44762393162393,1.59233766233768,-0.144713730713752,0,4.8,1.768
"9","Luxembourg","plastic","XARIMA",5,3.30926161094987,3.30926161094987,20.5934405441107,8.08269756949993,3.04959013639538,0.377298557835817,0.612410256410257,0.710129870129856,-0.0977196137195989,0,17.1,4.34
"10","Netherlands","plastic","XARIMA",4,-0.940526564976118,0.940526564976118,23.2293127523793,14.5238736142224,4.31219201798807,0.296903714017822,1.78044444444445,2.23675324675329,-0.456308802308843,0,10.4,3.3
"11","Portugal","plastic","BRR",1,7.34646545276039,7.34646545276039,18.6910641175817,13.2070346087945,1.92301846064982,0.145605619854233,1.68884615384615,2.16684210526313,-0.477995951416979,0,6.9,2.525
"12","Spain","plastic","XARIMA",3,-12.5357627319307,12.5357627319307,29.730259391998,12.027743722229,5.0197609504836,0.417348512440148,1.66495726495727,1.89350649350653,-0.22854922854926,0,10.2,2.404
"13","Sweden","plastic","SVM",2,5.22062676917199,5.22062676917199,28.2580576013757,12.2229838146556,13.1408903807923,1.07509676688241,1.06300854700855,1.77766233766237,-0.714653790653819,0,19.7,4.948
